date,location,administered_janssen,administered_moderna,administered_pfizer,administered_unk_manuf,series_complete_pop_pct
2021-12-02T00:00:00.000,MN,329698,3077416,4912695,2631,62.8
2021-12-02T00:00:00.000,VA2,234886,3331010,2992385,281,0
2021-12-02T00:00:00.000,WV,50743,902109,1173252,694,48.9
2021-12-02T00:00:00.000,KY,212089,2270558,2970111,1935,52.3
2021-12-02T00:00:00.000,OR,249213,2338717,3649064,6412,64.2
2021-12-02T00:00:00.000,AS,547,18797,48522,1,66.2
2021-12-02T00:00:00.000,TX,1377901,14120284,21959594,3000,54.9
2021-12-02T00:00:00.000,GA,303729,4965341,7146668,13078,49.7
2021-12-02T00:00:00.000,NV,169192,1400772,2418045,509,54.7
2021-12-02T00:00:00.000,DE,55276,564198,834386,1716,61.8
2021-12-02T00:00:00.000,RP,2334,27416,4911,0,73.7
2021-12-02T00:00:00.000,ND,35850,358736,508711,308,49
2021-12-02T00:00:00.000,MA,367485,4542676,6785671,424,71.4
2021-12-02T00:00:00.000,CA,2091073,22741806,35182771,15260,63.4
2021-12-02T00:00:00.000,VI,1876,35555,83498,0,49.2
2021-12-02T00:00:00.000,MI,414920,5068901,7358329,1916,54.8
2021-12-02T00:00:00.000,GU,11004,89177,176607,49,73.5
2021-12-02T00:00:00.000,OH,560295,5596885,8346701,18017,53.3
2021-12-02T00:00:00.000,WA,440898,4329721,6689295,8642,65.3
2021-12-02T00:00:00.000,AR,109172,1527990,1908727,3370,49.5
2021-12-02T00:00:00.000,UT,163140,1486045,2470881,294,55.7
2021-12-02T00:00:00.000,MD,331965,3525973,5660438,14018,67.9
2021-12-02T00:00:00.000,ME,131176,916690,1203525,2193,72.5
2021-12-02T00:00:00.000,IH2,36145,915491,929950,168,37.9
2021-12-02T00:00:00.000,VA,450125,4746640,7974649,7295,65.2
2021-12-02T00:00:00.000,WY,26768,282865,327788,575,45.7
2021-12-02T00:00:00.000,SC,205459,2430171,3595511,1988,51.6
2021-12-02T00:00:00.000,IN,278584,2866100,4647869,26492,50.7
2021-12-02T00:00:00.000,AK,39500,375990,547545,755,54.4
2021-12-02T00:00:00.000,LA,177279,2166733,2908267,2765,49
2021-12-02T00:00:00.000,NH,102269,811655,1234164,60,64.9
2021-12-02T00:00:00.000,MP,1032,10772,71720,0,69.9
2021-12-02T00:00:00.000,RI,59195,670413,1027504,1199,72.8
2021-12-02T00:00:00.000,SD,36377,461385,661428,132,54.9
2021-12-02T00:00:00.000,MO,227254,2707489,4531766,2303,51.1
2021-12-02T00:00:00.000,PR,140999,2136320,3163409,518,74.2
2021-12-02T00:00:00.000,AZ,324918,3867867,5458406,18879,54.9
2021-12-02T00:00:00.000,AL,155027,2320770,2793083,293,46.3
2021-12-02T00:00:00.000,BP2,13146,107256,137698,31,0
2021-12-02T00:00:00.000,WI,304909,3187632,4767530,1524,59.7
2021-12-02T00:00:00.000,IA,162081,1704126,2366327,414,56.9
2021-12-02T00:00:00.000,NE,85629,962341,1564482,5287,57.7
2021-12-02T00:00:00.000,NY,1248175,11092853,17798196,11899,68.7
2021-12-02T00:00:00.000,MH,2313,40810,2429,2,28.3
2021-12-02T00:00:00.000,DC,33173,429023,707233,473,64.7
2021-12-02T00:00:00.000,NJ,497845,5224825,7876309,665,68
2021-12-02T00:00:00.000,NC,461190,5106587,8081682,869,54.4
2021-12-01T00:00:00.000,WY,26674,281380,326404,572,45.6
2021-12-01T00:00:00.000,MS,81079,1319028,1814303,2007,47.1
2021-12-01T00:00:00.000,PR,140646,2121338,3140801,504,74.1
2021-12-01T00:00:00.000,ME,130779,911499,1197256,2157,72.4
2021-12-01T00:00:00.000,DC,33135,428346,706079,472,64.6
2021-12-01T00:00:00.000,RP,2334,27056,4824,0,73.4
2021-12-01T00:00:00.000,MI,413748,5049981,7327828,1913,54.7
2021-12-01T00:00:00.000,AS,547,18797,48522,1,66.2
2021-12-01T00:00:00.000,HI,55158,668788,1266576,94064,61
2021-12-01T00:00:00.000,IH2,36050,912333,926158,168,37.8
2021-12-01T00:00:00.000,MO,226348,2689173,4505389,2303,51
2021-12-01T00:00:00.000,NJ,496045,5204823,7850064,658,67.9
2021-12-01T00:00:00.000,OR,248547,2327689,3635137,6352,64.1
2021-12-01T00:00:00.000,SD,36279,459339,658761,132,54.8
2021-12-01T00:00:00.000,MA,366615,4523304,6755531,424,71.3
2021-12-01T00:00:00.000,VI,1863,35418,83215,0,49.1
2021-12-01T00:00:00.000,AL,154789,2316327,2787843,292,46.2
2021-12-01T00:00:00.000,NV,168624,1395237,2409356,509,54.6
2021-12-01T00:00:00.000,CT,225352,2253549,3534304,1183,72.1
2021-12-01T00:00:00.000,NH,102130,810003,1230478,60,64.8
2021-12-01T00:00:00.000,CA,2084243,22644200,35024428,15229,63.3
2021-12-01T00:00:00.000,MP,1001,10662,71121,0,69.3
2021-12-01T00:00:00.000,OH,558431,5575315,8312498,17973,53.1
2021-12-01T00:00:00.000,BP2,13141,107162,137631,31,0
2021-12-01T00:00:00.000,MT,54374,564773,707019,1549,51.9
2021-12-01T00:00:00.000,DE,55090,561138,828976,1713,61.6
2021-12-01T00:00:00.000,AZ,323826,3853009,5426032,18769,54.7
2021-12-01T00:00:00.000,CO,307296,3395449,4933760,6763,63.4
2021-12-01T00:00:00.000,WV,44393,767135,879320,474,41.5
2021-12-01T00:00:00.000,WA,439793,4310645,6661623,8610,65.2
2021-12-01T00:00:00.000,IL,613019,6544605,10805471,24483,61.8
2021-12-01T00:00:00.000,GU,10889,88842,176023,44,73.4
2021-12-01T00:00:00.000,FM,12315,65527,2205,2,41.5
2021-12-01T00:00:00.000,VA,448973,4731557,7946103,7270,65
2021-12-01T00:00:00.000,AR,108925,1522495,1902514,3367,49.4
2021-12-01T00:00:00.000,PA,662176,7212059,10495233,1344,58.5
